Bank-leitzahl,Bezeichnung,Ort,BIC
10000000,Bundesbank,Berlin,MARKDEF1100
10010010,Postbank,Berlin,PBNKDEFFXXX
10010111,SEB,Berlin,ESSEDE5F100
10010424,Aareal Bank,Berlin,AARBDE5W100
10019610,Dexia Kommunalbank Deutschland,Berlin,DXIADEBBXXX
10020200,BHF-BANK,Berlin,BHFBDEFF100
10020500,Bank für Sozialwirtschaft,Berlin,BFSWDE33BER
10020510,Bank für Sozialwirtschaft,Berlin,BFSWDE33B10
10020520,Bank für Sozialwirtschaft,Berlin,BFSWDE33B20
10020890,UniCredit Bank - HypoVereinsbank,Berlin,HYVEDEMM488
10030200,Berlin Hyp,Berlin,BHYPDEB2XXX
10030400,ABK Allgemeine Beamten Bank,Berlin,ABKBDEB1XXX
10030500,Bankhaus Löbbecke,Berlin,LOEBDEBBXXX
10030600,North Channel Bank,Mainz,GENODEF1OGK
10030700,Eurocity Bank,Frankfurt am Main,DLGHDEB1XXX
10031000,EIS Einlagensicherungsbank,Berlin,EIEGDEB1XXX
10033300,Santander Consumer Bank,Berlin,SCFBDE33XXX
10040000,Commerzbank, Filiale Berlin 1,Berlin,COBADEBBXXX
10040005,Commerzbank, Filiale Berlin 3,Berlin,COBADEBBXXX
10040010,Commerzbank, CC SP,Berlin,COBADEFFXXX
10040048,Commerzbank GF-B48,Berlin,COBADEFFXXX
10040060,Commerzbank Gf 160,Berlin,COBADEFFXXX
10040061,Commerzbank Gf 161,Berlin,COBADEFFXXX
10040062,Commerzbank CC,Berlin,COBADEFFXXX
10040063,Commerzbank CC,Berlin,COBADEFFXXX
10040085,Commerzbank, Gf Web-K,Berlin,COBADEFFXXX
10045050,Commerzbank Service-BZ,Berlin,COBADEFFXXX
10050000,Landesbank Berlin - Berliner Sparkasse,Berlin,BELADEBEXXX
10050005,Landesbank Berlin - E 1 -,Berlin,BELADEB1DB5
10050006,Landesbank Berlin - E 2 -,Berlin,BELADEB1DB6
10050007,Landesbank Berlin - E 3 -,Berlin,BELADEB1DB7
10050008,Landesbank Berlin - E 4 -,Berlin,BELADEB1DB8
10050020,LBB S-Kreditpartner, Berlin,Berlin,SKPADEB1XXX
10050500,LBS Ost Berlin,Berlin,LBSODEB1BLN
10050999,DekaBank Berlin,Berlin,DGZFDEFFBER
10060198,Pax-Bank,Berlin,GENODED1PA6
10060237,Evangelische Darlehnsgenossenschaft -alt-,Berlin,GENODEF1EDG
10061006,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,Berlin,GENODED1KDB
10070000,Deutsche Bank Fil Berlin,Berlin,DEUTDEBBXXX
10070024,Deutsche Bank Privat und Geschäftskunden F 700,Berlin,DEUTDEDBBER
10070100,Deutsche Bank Fil Berlin II,Berlin,DEUTDEBB101
10070124,Deutsche Bank Privat und Geschäftskd Berlin II,Berlin,DEUTDEDB101
10070848,Berliner Bank Niederlassung der Deutsche Bank PGK,Berlin,DEUTDEDB110
10077777,norisbank,Berlin,NORSDE51XXX
10080000,Commerzbank vormals Dresdner Bank Filiale Berlin I,Berlin,DRESDEFF100
10080005,Commerzbank vormals Dresdner Bank Zw A,Berlin,DRESDEFFI26
10080006,Commerzbank vormals Dresdner Bank Zw B,Berlin,DRESDEFFXXX
10080055,Commerzbank vormals Dresdner Bank Zw 55,Berlin,DRESDEFF112
10080057,Commerzbank vormals Dresdner Bank Gf ZW 57,Berlin,DRESDEFF114
10080085,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3,Berlin,DRESDEFFI53
10080086,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4,Berlin,DRESDEFFI71
10080087,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5,Berlin,DRESDEFFI72
10080088,Commerzbank vormals Dresdner Bank IBLZ,Berlin,DRESDEFFXXX
10080089,Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6,Berlin,DRESDEFFI73
10080900,Commerzbank vormals Dresdner Bank Filiale Berlin III,Berlin,DRESDEFF199
10089260,Commerzbank vormals Dresdner Bank ITGK,Berlin,DRESDEFFI14
10089999,Commerzbank vormals Dresdner Bank ITGK 2,Berlin,DRESDEFFI99
10090000,Berliner Volksbank,Berlin,BEVODEBBXXX
10090300,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,Berlin,GENODEF1BSB
10090603,apoBank,Berlin,DAAEDED1003
10090900,PSD Bank Berlin-Brandenburg,Berlin,GENODEF1P01
10110300,Privatbank Berlin von 1929,Berlin,MACODEB1XXX
10110400,Investitionsbank Berlin,Berlin,IBBBDEBBXXX
10110600,quirin bank,Berlin,QUBKDEBBXXX
10120100,Weberbank,Berlin,WELADED1WBB
10120600,Santander Consumer Bank,Frankfurt am Main,SCFBDE33XXX
10120800,VON ESSEN Bankgesellschaft,Berlin,VONEDE33BLN
10130600,Isbank Fil Berlin,Berlin,ISBKDEFXBER
10130800,BIW Bank,Willich,BIWBDE33XXX
10220500,Bank of Scotland Ndl Berlin,Berlin,BOFSDEB1XXX
10220600,Sydbank Filiale Berlin,Berlin,SYBKDE22BER
10310600,Tradegate Wertpapierhandelsbank Berlin,Berlin,TRDADEB1PBK
11010100,solarisBank,Berlin,SOBKDEBBXXX
12016836,KfW Kreditanstalt für Wiederaufbau,Berlin,KFWIDEFF100
12030000,Deutsche Kreditbank Berlin,Berlin,BYLADEM1001
12030900,Merck Finck & Co,Berlin,MEFIDEMM100
12040000,Commerzbank Filiale Berlin 2,Berlin,COBADEBB120
12050555,NLB FinanzIT,Berlin,NOLADE21DVS
12060000,DZ BANK,Berlin,GENODEFF120
12070000,Deutsche Bank Ld Brandenburg,Potsdam,DEUTDEBB160
12070024,Deutsche Bank Privat und Geschäftskunden,Potsdam,DEUTDEDB160
12070070,Deutsche Bank (Gf intern),Potsdam,DEUTDEFFVAC
12070088,Deutsche Bank (Gf intern),Potsdam,DEUTDEDBPAL
12080000,Commerzbank vormals Dresdner Bank Filiale Berlin II,Berlin,DRESDEFF120
12090640,apoBank,Berlin,DAAEDED1040
12096597,Sparda-Bank Berlin,Berlin,GENODEF1S10
13000000,Bundesbank,Rostock,MARKDEF1130
13010111,SEB,Rostock,ESSEDE5F130
13040000,Commerzbank,Rostock,COBADEFFXXX
13050000,Ostseesparkasse Rostock,Rostock,NOLADE21ROS
13051042,Sparkasse Vorpommern auf Rügen,Bergen auf Rügen,NOLADE21RUE
13061008,Volksbank Wolgast,Wolgast,GENODEF1WOG
13061028,Volksbank Raiffeisenbank ehem VB Greifswald,Greifswald- Hansestadt,GENODEF1GW1
13061078,Volks- und Raiffeisenbank,Wismar,GENODEF1HWI
13061088,Raiffeisenbank Wismar -alt-,Wismar,GENODEF1HWR
13061128,Raiffeisenbank,Bad Doberan,GENODEF1DBR
13070000,Deutsche Bank,Rostock,DEUTDEBRXXX
13070024,Deutsche Bank Privat und Geschäftskunden,Rostock,DEUTDEDBROS
13080000,Commerzbank vormals Dresdner Bank,Rostock,DRESDEFF130
13090000,Rostocker Volks- und Raiffeisenbank,Rostock,GENODEF1HR1
13091054,Pommersche Volksbank,Stralsund,GENODEF1HST
13091084,Volksbank Wismar -alt-,Wismar,GENODEF1HWV
14040000,Commerzbank,Schwerin,COBADEFFXXX
14051000,Sparkasse Mecklenburg-Nordwest,Wismar,NOLADE21WIS
14051362,Sparkasse Parchim-Lübz,Parchim,NOLADE21PCH
14051462,Sparkasse Schwerin -alt-,Schwerin,NOLADE21SNS
14052000,Sparkasse Mecklenburg-Schwerin,Schwerin,NOLADE21LWL
14061308,Volks- und Raiffeisenbank,Güstrow,GENODEF1GUE
14061438,Raiffeisen-Volksbank -alt-,Gadebusch,GENODEF1GDB
14080000,Commerzbank vormals Dresdner Bank,Schwerin,DRESDEFF140
14080011,Commerzbank vormals Dresdner Bank Zw W,Schwerin,DRESDEFFI27
14091464,VR-Bank,Schwerin,GENODEF1SN1
15000000,Bundesbank,Neubrandenburg,MARKDEF1150
15040068,Commerzbank,Neubrandenburg,COBADEFFXXX
15050100,Müritz-Sparkasse,Waren (Müritz),NOLADE21WRN
15050200,Sparkasse Neubrandenburg-Demmin,Neubrandenburg,NOLADE21NBS
15050400,Sparkasse Uecker-Randow,Pasewalk,NOLADE21PSW
15050500,Sparkasse Vorpommern,Greifswald- Hansestadt,NOLADE21GRW
15051732,Sparkasse Mecklenburg-Strelitz,Neustrelitz,NOLADE21MST
15061618,Raiffeisenbank Mecklenburger Seenplatte,Waren (Müritz),GENODEF1WRN
15061638,Volksbank Raiffeisenbank,Greifswald- Hansestadt,GENODEF1ANK
15061698,Raiffeisenbank Malchin,Malchin,GENODEF1MAL
15080000,Commerzbank vormals Dresdner Bank,Neubrandenburg,DRESDEFF150
15091674,Volksbank Demmin,Demmin- Hansestadt,GENODEF1DM1
15091704,VR-Bank Uckermark-Randow,Prenzlau,GENODEF1PZ1
16010111,SEB,Potsdam,ESSEDE5F160
16010300,Investitionsbank des Landes Brandenburg,Potsdam,ILBXDE8XXXX
16020086,UniCredit Bank - HypoVereinsbank,Potsdam,HYVEDEMM470
16040000,Commerzbank,Potsdam,COBADEFFXXX
16050000,Mittelbrandenburgische Sparkasse in Potsdam,Potsdam,WELADED1PMB
16050101,Sparkasse Prignitz,Pritzwalk,WELADED1PRP
16050202,Sparkasse Ostprignitz-Ruppin,Neuruppin,WELADED1OPR
16050500,LBS Ostdeutsche Landesbausparkasse,Potsdam,LBSODEB1XXX
16060122,Volks- und Raiffeisenbank Prignitz,Perleberg,GENODEF1PER
16061938,Raiffeisenbank Ostprignitz-Ruppin,Neuruppin,GENODEF1NPP
16062008,VR-Bank Fläming,Luckenwalde,GENODEF1LUK
16062073,Brandenburger Bank,Brandenburg an der Havel,GENODEF1BRB
16080000,Commerzbank vormals Dresdner Bank,Potsdam,DRESDEFF160
16091994,Volksbank Rathenow,Rathenow,GENODEF1RN1
17020086,UniCredit Bank - HypoVereinsbank,Frankfurt (Oder),HYVEDEMM471
17040000,Commerzbank,Frankfurt (Oder),COBADEFFXXX
17052000,Sparkasse Barnim,Eberswalde,WELADED1GZE
17052302,Stadtsparkasse Schwedt,Schwedt/Oder,WELADED1UMX
17054040,Sparkasse Märkisch-Oderland,Strausberg,WELADED1MOL
17055050,Sparkasse Oder-Spree,Frankfurt (Oder),WELADED1LOS
17056060,Sparkasse Uckermark,Prenzlau,WELADED1UMP
17062428,Raiffeisenbank-Volksbank Oder-Spree,Beeskow,GENODEF1BKW
17080000,Commerzbank vormals Dresdner Bank,Frankfurt (Oder),DRESDEFF170
17092404,VR Bank Fürstenwalde Seelow Wriezen,Fürstenwalde/Spree,GENODEF1FW1
18020086,UniCredit Bank - HypoVereinsbank,Cottbus,HYVEDEMM472
18040000,Commerzbank,Cottbus,COBADEFFXXX
18050000,Sparkasse Spree-Neiße,Cottbus,WELADED1CBN
18051000,Sparkasse Elbe-Elster,Finsterwalde,WELADED1EES
18055000,Sparkasse Niederlausitz,Senftenberg,WELADED1OSL
18062678,VR Bank Lausitz,Cottbus,GENODEF1FWA
18062758,VR Bank Forst,Forst (Lausitz),GENODEF1FOR
18080000,Commerzbank vormals Dresdner Bank,Cottbus,DRESDEFF180
18092684,Spreewaldbank,Lübben (Spreewald),GENODEF1LN1
18092744,Volksbank Spree-Neiße,Spremberg,GENODEF1SPM
20000000,Bundesbank,Hamburg,MARKDEF1200
20010020,Postbank (Giro),Hamburg,PBNKDEFFXXX
20010111,SEB,Hamburg,ESSEDE5F200
20010424,Aareal Bank,Hamburg,AARBDE5W200
20020200,SEB Merchant Bank Hamburg,Hamburg,ESSEDEFFHAM
20020500,Jyske Bank Fil Hamburg,Hamburg,JYBADEHHXXX
20020900,Signal Iduna Bauspar,Hamburg,SIBSDEHHXXX
20030000,UniCredit Bank - HypoVereinsbank,Hamburg,HYVEDEMM300
20030133,Varengold Bank,Hamburg,VGAGDEHHXXX
20030300,DONNER & REUSCHEL,Hamburg,CHDBDEHHXXX
20030400,Marcard, Stein & Co Bankiers,Hamburg,MCRDDEHHXXX
20030600,Sydbank Fil Hamburg,Hamburg,SYBKDE22HAM
20030700,Merck Finck & Co,Hamburg,MEFIDEMM200
20030900,Bankhaus Wölbern & Co,Hamburg,WOELDEHHXXX
