"D001","Telekom Deutschland GmbH"
"D003","multiConnect GmbH"
"D004","NETCOLOGNE GmbH"
"D007","M-net Telekommunikations GmbH"
"D008","Verizon Deutschland GmbH"
"D009","Vodafone GmbH"
"D011","1&1 Versatel Deutschland GmbH"
"D012","BT (Germany) GmbH & Co. OHG"
"D013","EWE TEL GmbH"
"D017","Colt Technology Services GmbH"
"D019","Telefonica Germany GmbH & Co. OHG"
"D020","dtms GmbH"
"D021","01024 Telefondienste GmbH"
"D022","Communication Services TELE2 GmbH"
"D023","HeLi NET Telekommunikation GmbH & Co. KG"
"D025","IN-telegence GmbH"
"D027","Ventelo GmbH"
"D028","3U Telecom GmbH"
"D030","Younip Telecom GmbH"
"D031","EWE TEL GmbH"
"D032","DOKOM Gesellschaft für Telekommunikation mbH"
"D033","01049 GmbH"
"D034","11 88 0 Solutions AG"
"D035","BITel Gesellschaft für Telekommunikation mbH"
"D037","WOBCOM GmbH Wolfsburg für Telekommunikation und Dienstleistungen"
"D038","TNG Stadtnetz GmbH"
"D040","Westend Management GmbH"
"D043","M-net Telekommunikations GmbH"
"D045","HLkomm Telekommunikations GmbH"
"D046","envia TEL GmbH"
"D047","01051 Telecom GmbH"
"D048","EWE TEL GmbH"
"D050","htp GmbH"
"D051","Callax Telecom Services GmbH"
"D052","M-net Telekommunikations GmbH"
"D053","Breitbandkabelgesellschaft mbH"
"D054","NETAACHEN GmbH"
"D056","Vodafone GmbH"
"D057","envia TEL GmbH"
"D058","Carrier 1 International AG"
"D061","Telefonica Germany GmbH & Co. OHG"
"D063","Kube & Au GmbH"
"D065","Telefonica Germany GmbH & Co. OHG"
"D070","First Communication GmbH"
"D071","Netcom Kassel GmbH"
"D072","ENTEGA Medianet GmbH"
"D073","dtms GmbH"
"D074","DATA CMR GmbH & Co.KG"
"D075","Median Telecom GmbH"
"D076","Stadtwerke Schwedt GmbH"
"D078","Vodafone GmbH"
"D081","Daten- und Telekommunikations-GmbH Dessau"
"D084","VSE NET GmbH"
"D085","EWE TEL GmbH"
"D086","Mega Communications GmbH"
"D087","TeleNEC Telekommunikation Neustadt GmbH & Co.KG"
"D088","010023 GmbH"
"D089","EWE TEL GmbH"
"D090","010023 GmbH"
"D093","1&1 Versatel Deutschland GmbH"
"D094","Spider Telecom GmbH"
"D095","MPA NET Gesellschaft für Telekommunikation mbH"
"D097","multiConnect GmbH"
"D098","GöTel GmbH"
"D100","Goodlines GmbH"
"D101","wilhelm.tel GmbH"
"D104","OneTel Telecommunication GmbH"
"D105","FirstMark Communications Deutschland GmbH"
"D106","smart-DSL GmbH"
"D107","3U Telecom GmbH"
"D108","mr. next id GmbH & Co.KG"
"D109","Thüringer Netkom GmbH"
"D113","inopla GmbH"
"D114","Deutsche Telefon Standard AG"
"D115","MDCC Magdeburg City-Com GmbH"
"D117","HFO Telecom Vertriebs GmbH"
"D118","EXACOR GmbH"
"D120","Vodafone NRW GmbH"
"D121","TELTA Citynetz Eberswalde GmbH"
"D122","01018 GmbH"
"D123","Plusnet GmbH"
"D124","Telekom Deutschland GmbH"
"D125","nexnet GmbH"
"D127","Vodafone BW GmbH"
"D129","01081 Telecom GmbH"
"D130","Maestro Telecom GmbH"
"D131","CALLAX Holding GmbH"
"D133","PFALZKOM GmbH"
"D134","01071 Telecom GmbH"
"D135","Callax Telecom Services GmbH"
"D137","Broadnet Services GmbH"
"D138","01066 GmbH"
"D139","01059 GmbH"
"D141","envito GmbH & Co.KG"
"D142","net services GmbH & Co. KG"
"D143","First Telecom GmbH"
"D144","sdt.net AG"
"D145","Callax Telecom Services GmbH"
"D146","[netzquadrat] Gesellschaft für Telekommunikation mbH"
"D147","Maestro Telecom GmbH"
"D148","01081 Telecom GmbH"
"D150","Telekom Deutschland GmbH"
"D153","amplus AG"
"D154","PLANinterNET VoIP-GmbH"
"D155","TNG Stadtnetz GmbH"
"D156","one4one Services GmbH"
"D157","Kabelfernsehen München"
"D158","Telogic Germany GmbH"
"D159","ccn corporate communication networks GmbH"
"D160","PGmedia Telecom GmbH"
"D163","dus.net GmbH"
"D164","Callax Telecom Services GmbH"
"D166","Callax Telecom Services GmbH"
"D167","DNS:Net Internet Service GmbH"
"D168","bn:t Blatzheim Networks Telecom GmbH"
"D170","01057 Protel GmbH"
"D171","toplink GmbH"
"D172","Callax Telecom Services GmbH"
"D173","Callax Telecom Services GmbH"
"D174","T-Systems Business Services GmbH"
"D175","Callax Telecom Services GmbH"
"D176","01051 Telecom GmbH"
"D178","MK Netzdienste GmbH & Co. KG"
"D179","Callax Telecom Services GmbH"
"D180","Outbox AG"
"D181","Callax Telecom Services GmbH"
"D182","DOKOM Gesellschaft für Telekommunikation mbH"
"D183","Discount Telecom S&V GmbH"
"D184","Forester GmbH"
"D185","01081 Telecom GmbH"
"D186","TeleSon Vertriebs GmbH"
"D188","Inocom GmbH"
"D189","PURtel.com GmbH"
"D190","economore GmbH & Co. KG"
"D191","Vodafone Kabel Deutschland GmbH"
"D193","YIPL OHG"
"D194","G-FIT Gesellschaft für innovativeTelekommunikationsdienste mbH & Co. KG"
"D195","01071 Telecom GmbH"
"D197","vitroconnect systems GmbH"
"D198","Callax Telecom Services GmbH"
"D199","010091 UG (haftungsbeschränkt)"
"D201","1&1 Telecom GmbH"
"D202","inexio Informationstechnologie und Telekommunikation GmbH66740 Saarlouis"
"D204","eco Service GmbH"
"D205","Truphone GmbH"
"D206","LineCall Telecom GmbH"
"D207","OpenNumbers GmbH"
"D208","Orange Business Germany GmbH"
"D209","Televersa Online GmbH"
"D210","01085 GmbH"
"D211","Fonfriends Telecom GmbH"
"D212","AS-Infodienste GmbH"
"D213","SNT Greifswald GmbH"
"D214","VSE NET GmbH"
"D215","OVH GmbH"
"D216","meetyoo conferencing GmbH"
"D217","Smart Products GmbH"
"D218","[netzquadrat] Gesellschaft für Telekommunikation mbH"
"D219","Teleservice Company GmbH"
"D220","VOXBONE SA"
"D222","IN-telegence GmbH"
"D223","42one GmbH"
"D224","wel.de Gesellschaft für Informationsdienste mbh"
"D225","TeleVita Kommunikationsdienste GmbH (i.Gr.)"
"D226","Spider Telecom GmbH"
"D228","Verizon Deutschland GmbH"
"D229","11 88 0 Solutions AG"
"D230","01018 GmbH"
"D231","Enghouse Networks (Germany) GmbH"
"D232","11 88 0 Internet Services AG"
"D233","11 88 0 Internet Services AG"
"D235","M-net Telekommunikations GmbH"
"D239","MEGA MOBILES GmbH"
"D240","Equada GmbH"
"D241","Colt Technology Services GmbH"
"D242","Alnitak GmbH"
"D244","IKTel UG"
"D245","Gossip GmbH"
"D246","Kube & Au GmbH"
"D247","010091 UG (haftungsbeschränkt)"
"D248","[netzquadrat] Gesellschaft für Telekommunikation mbH"
"D249","Lycamobile Europe Ltd., London, United KingdomEmpfangsbevollmächtigter: Dr. Peter Schmitz, JUCONOMY RA, Mörsenbroicher Weg 200"
"D250","Teleflash GmbH"
"D251","Dritte Hansestar GmbH"
"D252","OpenNumbers GmbH"
"D253","talkyou telecom UG (haftungsbeschränkt)"
"D254","01073 GmbH"
"D257","Younip Telecom GmbH"
"D258","LineCall GmbH"
"D259","KADSOFT Computer GmbH Freital Kommunikation-Automation-Datentechnik"
"D260","mr. next id GmbH & Co.KG"
"D261","Sipgate Wireless GmbH"
"D262","just digits GmbH"
"D263","inexio Informationstechnologie und Telekommunikation GmbH66740 Saarlouis"
"D264","01048 Telecom GmbH"
"D265","Northern Access GmbH"
"D266","mr. communication GmbH"
"D267","HLkomm Telekommunikations GmbH"
"D268","MK Netzdienste GmbH & Co. KG"
"D270","G-FIT Gesellschaft für innovativeTelekommunikationsdienste mbH & Co. KG"
"D271","Outbox AG"
"D273","First Telecom GmbH"
"D274","First Communication GmbH"
"D275","FPS InformationsSysteme GmbH"
"D276","Herzo Media GmbH & Co.KG"
"D277","EXACOR GmbH"
"D278","pop-interactive GmbH"
"D279","Freikom Stefan Frech & Thorsten Reimer GbR"
"D280","Ilm-Provider UG (haftungsbeschränkt)"
"D281","TELE AG"
"D282","dtms GmbH"
"D283","wilhelm.tel GmbH"
"D284","ACARA Telecom GmbH"
"D286","01051 Telecom GmbH"
"D287","ENTEGA Medianet GmbH"
"D288","EPCAN GmbH"
"D289","bn:t Blatzheim Networks Telecom GmbH"
"D290","yuilop s.l."
"D291","Stadtwerke Schwedt GmbH"
"D292","BT (Germany) GmbH & Co. OHG"
"D294","SBC (Germany) GmbH & Co.KG"
"D296","Marco Bungalski GmbH"
"D297","Netcom Kassel GmbH"
"D298","[netzquadrat] Gesellschaft für Telekommunikation mbH"
"D299","GDV Dienstleistungsgesellschaft GmbH & Co.KG"
"D301","Aleando GmbH"
