"00/019","TELTA Citynetz GmbH"
"00/031","Orange Business Germany GmbH"
"00/035","HFO Home GmbH"
"00/040","TelemaxX Telekommunikation GmbH"
"00/073","Andreas Muth, Antennenbaubetrieb"
"00/074","intersaar GmbH"
"00/086","Avaya GmbH & Co. KG"
"00/097","WEMACOM Telekommunikation GmbH"
"00/101","wilhelm.tel GmbH"
"00/121","Fernseh GmbH Niederdorf"
"00/133","Unitymedia Hessen GmbH & Co. KG"
"00/135","Kabelfernsehen Muenchen Servicenter GmbH & Co. KG"
"00/140","Ost Tel Com Osttelecommunications-GmbH"
"00/152","GöTel GmbH"
"00/159","COM-IN Telekommunikations GmbH"
"00/172","Telemark Telekommunikationsgesellschaft Mark mbH"
"00/188","ACO Computerservice GmbH"
"00/196","I-NetPartner GmbH Online Services"
"00/212","Bisping & Bisping GmbH & Co. KG"
"01/007","LKG Lausitzer Kabelbetriebsgesellschaft mbH"
"01/009","KKG Kabelkommunikation Guestrow GmbH"
"01/020","Telepark Passau GmbH"
"01/036","FAKS, Frankfurter Antennen- und Kommunikationsservice GmbH"
"01/066","BT (Germany) GmbH & Co. oHG"
"01/070","DNS:NET Internet Service GmbH"
"01/079","HeLi NET Telekommunikation GmbH & Co. KG"
"01/088","SOCO Network Solutions GmbH"
"01/099","HL komm Telekommunikations GmbH"
"01/102","Telekabel Bremen oHG"
"01/104","true global communications GmbH"
"01/111","City TV-Kabelservice GmbH"
"01/124","Bernd Garthoff, tv-video-hifi-antennentechnik"
"01/150","Titan Networks GmbH"
"01/161","SWU Telenet GmbH"
"01/174","Kabel + Satellit Bergen Kommunikationstechnik GmbH"
"02/004","x.CableCom GmbH"
"02/035","Satelliten- und Kabelfernsehanlagen / Industrievertretung GmbH"
"02/040","km3 teledienst GmbH"
"02/047","NeckarCom – Eine Marke der NetCom BW"
"02/051","regionetz.net"
"02/064","Antronic Kommunikations Service GmbH"
"02/069","willy.tel GmbH"
"02/078","Thüringer Netkom GmbH"
"02/079","teliko GmbH"
"02/107","MEDIACOM Kabelservice GmbH"
"02/110","Funk und Technik GmbH Forst"
"02/130","SWT trilan GmbH"
"02/149","Kabel-TV Aue e.V."
"02/152","KKS Kabel-Kommunikationsservice GmbH"
"02/158","Hughes Network Systems GmbH"
"02/181","MK Netzdienste GmbH & Co. KG"
"03/016","RegioNet Schweinfurt GmbH"
"03/018","Tele Columbus Sachsen-Thüringen GmbH"
"03/026","telesparfon GmbH"
"03/033","Ventelo GmbH"
"03/034","prima call GmbH"
"03/041","Girrbach - HiFi , Video, TV, Service GmbH"
"03/049","GGEW net GmbH"
"03/063","Elementmedia GmbH"
"03/076","süc//dacor GmbH"
"03/089","skyDSL Deutschland GmbH"
"03/111","1click2 Internet Services GmbH"
"03/130","Interoute Germany GmbH"
"04/002","42com Telecommunication GmbH"
"04/047","ADDIX Internet Services GmbH"
"04/063","net services GmbH & Co. KG"
"04/079","KurpfalzTel Gesellschaft für Telekommunikation mbH"
"04/095","Stadtwerke Flensburg GmbH"
"04/105","NEFtv GmbH"
"04/129","S-IT Informationstechnologie Betreiber GmbH & Co. KG im Nordschwarzwald"
"04/169","ccn corporate communication networks GmbH"
"04/200","Steffen Perlwitz, Vertrieb von Hard- und Software"
"04/201","Unifone GmbH"
"04/206","Stadtwerke Annaberg-Buchholz GmbH"
"04/231","ANT Granowski GmbH"
"04/244","Portunity GmbH"
"04/247","PLANinterNET VoIP-GmbH"
"04/256","rockenstein AG"
"04/268","Funknetz HG"
"04/269","Stadtwerke Marburg GmbH"
"04/276","Horst Wierling, Antennenbau/Fachhandel"
"04/284","Helmut Dräger, ANTEC"
"04/323","ATS Vertriebs- und Handelsgesellschaft UG & Co.KG"
"04/331","Bernd Asser, Antennentechnik"
"04/339","Antennenservice Thomas"
"05/029","Großgemeinschaftsantennenanlage Oberes Sprottental"
"05/044","I. Schneider Gemeinschafts-Antennenanlagen & Kommunikations-Systeme e.K. Inhaber Jens Schneider"
"05/052","Interessengemeinschaft \"Gemeinschaftsantenne\" e.V."
"05/067","Kabelcom Rheinhessen GmbH"
"05/074","ACS Hartmann"
"05/087","Mietho & Bär GbR"
"05/088","narelic Nachrichtenelektronik GmbH"
"05/113","SELLHUSEN GmbH"
"05/119","TEGRO Kabelbau GmbH"
"05/128","TKN Telekabel - Nord GmbH"
"05/131","TV-Netzgesellschaft mbH Guben"
"05/189","L & N Kabel- und Kommunikationssysteme GmbH"
"05/191","Tele Columbus Netze Berlin GmbH"
"05/193","Mietho & Bär Kabelkom GmbH"
"05/207","Andreas Stolle"
"05/212","HFO Telecom GmbH"
"05/217","Global Village GmbH"
"05/244","outbox AG"
"05/250","TNG Stadtnetz GmbH"
"05/253","reputatio AG"
"05/262","TBits.net GmbH"
"05/275","Tele Columbus Berlin-Brandenburg GmbH & Co.KG"
"05/279","reventix GmbH"
"05/295","mr. next id GmbH"
"05/314","terralink networks GmbH"
"05/326","omnidat Gesellschaft für individuelle Netzwerk- und Kommunikationslösungen mbH"
"05/349","m3connect GmbH"
"05/358","RS Gesellschaft fuer Informationstechnik mbH & Co. KG"
"05/367","AJE Consulting GmbH & Co. KG"
"05/383","Steffen Hartmut Allstädt, Doergi.Net"
"05/401","VPN Deutschland Ltd. & Co. KG"
"05/411","MEK-cable GbR"
"05/412","D/W Elektrofunk GmbH"
"05/414","NU Informationssysteme GmbH"
"05/416","Sachs Kommunikationssysteme GmbH"
"06/013","Günther Schuster, S - SYSTEMS"
"06/015","PTC Telecom GmbH"
"06/019","Verizon Deutschland GmbH"
"06/026","DW-TelefonDienste"
"06/078","Ackermann & Pfetzing GbR"
"06/114","Unitymedia NRW GmbH"
"06/118","congstar GmbH"
"06/127","Gemeinschaftsantenne Schmalkalden e.V."
"06/137","InSysCo Datensysteme GmbH"
"06/145","overturn technologies GmbH"
"06/153","optimaconnect GmbH"
"06/157","purtel.com GmbH"
"06/164","Inter.net Germany GmbH"
"06/165","FAG Fernseh-Antennen-Gemeinschaft Bad Steben e.V."
"06/181","Stadtwerke Lübeck GmbH"
"06/197","010090 GmbH"
"06/213","CNT AG"
"06/218","Telekommunikation Stefan Kienhöfer (Airnode)"
"06/224","Elektrizitäts-Genossenschaft Tacherting-Feichten eG"
"06/281","tenios GmbH"
"06/289","dus.net GmbH"
"06/296","NYNEX satellite OHG"
"06/306","DEK Telecom GmbH"
"06/311","AlphaCron Datensysteme"
"06/319","MDDSL Mitteldeutsche Gesellschaft für Kommunikation mbH"
"06/325","Norman Dietzen (Wireless-DSL - Eifel-DSL)"
"06/336","Voxbone SA"
"06/341","voipGATE S.A."
"06/363","GWS Stadtwerke Hameln GmbH"
"06/364","HochrheinNET GmbH"
"06/367","Susann Höhne Mobil24-direct"
"06/372","Netcommunity GmbH"
"07/007","vocatel business gmbh"
"07/027","AS Antennenanlagen-Service GmbH"
"07/033","AVACOMM Systems GmbH"
"07/034","Drillisch Online AG"
"07/034","VICTORVOX"
"07/043","Kadsoft Computer GmbH Freital"
"07/046","Computertechnik Trenkle e.K."
"07/079","G-FIT Gesellschaft für innovative Telekommunikationsdienste mbH & Co. KG"
"07/097","Broadsoft Germany GmbH"
"07/138","Tele Columbus Multimedia GmbH"
"07/172","NFON AG"
